# OTU96	OTU273	OTU792	OTU996	OTU1737	OTU5006	OTU6043
8.489999999999999892e-11	7.190000000000000504e-11	5.710000000000000186e-11	4.450000000000000143e-11	6.689999999999999645e-11	1.120000000000000074e-11	2.649999999999999896e-11
5.979999999999999965e-12	4.909999999999999717e-11	5.209999999999999974e-11	5.069999999999999682e-11	3.829999999999999957e-11	3.799999999999999802e-11	2.469999999999999936e-11
6.410000000000000354e-11	3.780000000000000130e-11	9.810000000000000245e-11	5.149999999999999664e-12	2.760000000000000033e-11	3.730000000000000303e-11	2.200000000000000158e-11
1.870000000000000069e-11	2.649999999999999896e-11	1.260000000000000043e-11	4.100000000000000059e-11	8.220000000000000113e-12	7.910000000000000344e-11	2.249999999999999985e-11
5.310000000000000275e-11	3.749999999999999975e-11	7.329999999999999503e-11	3.079999999999999962e-11	4.100000000000000059e-11	6.410000000000000354e-11	4.069999999999999904e-11
3.580000000000000174e-11	9.600000000000000453e-11	3.959999999999999767e-11	7.219999999999999528e-13	4.800000000000000227e-11	8.889999999999999803e-11	2.769999999999999870e-11
9.609999999999999643e-11	9.440000000000000489e-11	5.729999999999999858e-11	4.890000000000000045e-11	4.130000000000000375e-12	3.900000000000000103e-11	7.300000000000000641e-11
7.800000000000000207e-11	9.659999999999999470e-11	3.060000000000000290e-11	3.940000000000000094e-11	8.669999999999999529e-11	7.169999999999999539e-11	7.910000000000000344e-11
6.010000000000000443e-11	3.359999999999999900e-11	8.430000000000000228e-12	2.139999999999999848e-11	8.180000000000000445e-11	3.009999999999999816e-11	2.150000000000000007e-11
5.200000000000000138e-11	1.710000000000000105e-11	9.570000000000000298e-11	2.750000000000000197e-12	6.309999999999999407e-11	4.840000000000000218e-11	9.570000000000000621e-13
4.340000000000000006e-11	8.800000000000000631e-11	5.209999999999999812e-12	3.140000000000000272e-11	3.770000000000000294e-11	6.890000000000000247e-11	8.829999999999999493e-11
6.079999999999999942e-11	5.850000000000000478e-11	6.910000000000000243e-12	3.710000000000000146e-12	5.650000000000000361e-12	2.300000000000000135e-11	5.569999999999999894e-11
7.910000000000000344e-11	3.030000000000000135e-11	1.100000000000000079e-11	8.630000000000000184e-12	4.199999999999999714e-11	6.419999999999999544e-11	3.970000000000000249e-11
5.139999999999999828e-11	7.750000000000000379e-11	3.740000000000000139e-11	2.789999999999999865e-11	9.909999999999999900e-11	7.460000000000000605e-11	4.699999999999999764e-12
3.180000000000000263e-11	5.350000000000000266e-11	5.139999999999999828e-11	6.849999999999999610e-11	3.130000000000000194e-12	3.669999999999999993e-11	3.749999999999999975e-11
4.170000000000000205e-11	8.059999999999999826e-11	5.569999999999999894e-11	6.700000000000000128e-11	3.909999999999999940e-11	7.080000000000000367e-11	3.350000000000000064e-11
2.800000000000000024e-11	3.810000000000000285e-11	2.030000000000000034e-11	6.829999999999999937e-11	3.930000000000000258e-11	6.209999999999999752e-11	3.239999999999999927e-11
7.819999999999999879e-11	6.309999999999999407e-11	1.859999999999999910e-11	8.880000000000000613e-11	5.859999999999999668e-11	1.440000000000000003e-11	4.659999999999999935e-11
5.640000000000000040e-11	9.680000000000000435e-11	3.350000000000000064e-11	5.099999999999999837e-11	5.350000000000000266e-11	6.669999999999999973e-11	2.220000000000000153e-11
3.740000000000000139e-11	2.760000000000000033e-11	7.850000000000000034e-11	1.469999999999999997e-12	1.919999999999999897e-11	2.460000000000000019e-12	6.909999999999999920e-11
6.929999999999999592e-11	5.320000000000000111e-11	2.720000000000000123e-12	3.679999999999999829e-11	5.019999999999999855e-11	4.610000000000000107e-11	3.609999999999999683e-11
2.480000000000000096e-11	3.900000000000000103e-11	1.850000000000000074e-11	5.870000000000000151e-11	8.230000000000000273e-11	3.460000000000000201e-11	9.600000000000000453e-11
2.420000000000000109e-11	3.959999999999999767e-11	2.609999999999999905e-11	6.589999999999999991e-11	2.800000000000000024e-11	4.520000000000000289e-11	4.520000000000000289e-11
5.520000000000000067e-11	5.859999999999999668e-11	5.769999999999999850e-11	4.680000000000000253e-11	3.770000000000000294e-11	5.569999999999999894e-11	9.520000000000000471e-11
7.169999999999999539e-11	8.580000000000000357e-11	6.870000000000000575e-11	9.829999999999999513e-13	8.699999999999999684e-11	8.440000000000000065e-11	7.780000000000000534e-11
1.210000000000000054e-11	4.899999999999999881e-11	7.840000000000000521e-12	9.529999999999999661e-11	6.909999999999999920e-11	1.130000000000000072e-11	3.510000000000000028e-11
2.320000000000000131e-11	9.040000000000000578e-11	1.170000000000000063e-11	9.879999999999999745e-11	9.289999999999999714e-11	1.999999999999999879e-11	3.220000000000000254e-11
5.729999999999999858e-11	5.419999999999999766e-11	9.330000000000000352e-11	4.359999999999999678e-11	2.560000000000000078e-11	6.780000000000000110e-11	9.410000000000000334e-11
2.599999999999999827e-12	6.280000000000000544e-11	7.690000000000000069e-11	4.140000000000000050e-11	8.859999999999999648e-11	8.690000000000000494e-11	5.590000000000000213e-11
2.849999999999999852e-11	6.289999999999999734e-11	5.689999999999999867e-11	6.970000000000000229e-11	5.950000000000000294e-12	3.479999999999999873e-11	6.199999999999999835e-13
7.709999999999999742e-11	6.220000000000000234e-11	3.329999999999999745e-11	4.720000000000000244e-11	2.849999999999999852e-11	9.309999999999999387e-11	9.929999999999999572e-11
3.660000000000000157e-11	1.850000000000000074e-11	6.010000000000000443e-11	8.719999999999999356e-11	5.729999999999999858e-11	2.429999999999999945e-12	3.540000000000000183e-11
7.050000000000000212e-11	3.799999999999999964e-12	9.860000000000000072e-11	8.580000000000000357e-11	6.739999999999999957e-12	3.839999999999999794e-11	2.940000000000000316e-11
4.449999999999999820e-12	3.060000000000000290e-11	8.479999999999999409e-11	8.539999999999999719e-11	4.989999999999999700e-11	2.609999999999999905e-11	7.430000000000000450e-11
3.839999999999999794e-11	9.339999999999999542e-11	3.580000000000000174e-11	5.670000000000000195e-11	6.270000000000000062e-11	7.519999999999999623e-11	6.729999999999999798e-12
3.789999999999999966e-11	9.529999999999999661e-11	3.270000000000000082e-11	7.750000000000000379e-11	5.209999999999999974e-11	8.919999999999999958e-11	4.440000000000000307e-11
2.429999999999999945e-11	2.500000000000000091e-11	1.290000000000000037e-11	9.979999999999999399e-11	6.049999999999999787e-11	7.059999999999999402e-11	9.829999999999999917e-12
1.009999999999999937e-12	1.610000000000000006e-12	9.380000000000000179e-11	5.919999999999999978e-11	4.949999999999999709e-11	5.609999999999999724e-12	6.220000000000000234e-11
5.150000000000000310e-11	8.939999999999999630e-11	5.670000000000000195e-11	1.850000000000000074e-11	7.789999999999999724e-11	7.549999999999999777e-11	7.130000000000000194e-11
9.829999999999999917e-11	9.929999999999999572e-11	1.130000000000000072e-11	8.809999999999999821e-11	2.860000000000000011e-11	7.149999999999999866e-11	6.389999999999999389e-11
9.680000000000000435e-11	3.879999999999999785e-11	1.710000000000000105e-11	1.059999999999999926e-11	5.200000000000000138e-11	3.390000000000000055e-11	4.370000000000000161e-11
5.809999999999999841e-11	3.409999999999999808e-12	8.600000000000000029e-11	2.189999999999999998e-11	4.300000000000000014e-11	7.329999999999999503e-11	4.180000000000000041e-11
3.609999999999999683e-11	8.389999999999999591e-12	4.800000000000000227e-11	7.969999999999999361e-11	4.359999999999999678e-11	2.689999999999999887e-11	9.819999999999999758e-12
9.190000000000000060e-11	9.750000000000000258e-12	1.410000000000000010e-11	9.289999999999999714e-11	6.190000000000000079e-11	9.369999999999999696e-11	3.789999999999999966e-11
6.730000000000000283e-11	6.019999999999999794e-12	2.179999999999999839e-11	1.870000000000000069e-11	2.010000000000000119e-12	4.949999999999999709e-11	3.690000000000000312e-11
3.940000000000000094e-11	8.759999999999999993e-11	6.499999999999999526e-11	9.309999999999999387e-11	2.469999999999999936e-11	2.669999999999999892e-11	9.609999999999999643e-11
9.979999999999999399e-11	1.260000000000000043e-11	2.260000000000000144e-11	3.150000000000000108e-11	9.140000000000000232e-11	8.130000000000000618e-11	4.239999999999999705e-11
2.389999999999999954e-11	8.320000000000000091e-12	4.149999999999999886e-11	9.529999999999999661e-11	8.150000000000000290e-11	9.200000000000000542e-11	8.559999999999999392e-11
4.960000000000000191e-11	1.250000000000000046e-11	3.460000000000000201e-11	2.900000000000000002e-11	9.049999999999999767e-11	8.349999999999999600e-11	3.789999999999999966e-11
3.459999999999999898e-13	6.309999999999999407e-11	2.220000000000000153e-11	9.950000000000000214e-12	4.119999999999999731e-11	7.629999999999999760e-11	1.089999999999999920e-11
9.689999999999999625e-11	8.399999999999999427e-11	8.360000000000000082e-11	5.459999999999999757e-11	8.789999999999999502e-12	4.579999999999999952e-11	5.510000000000000230e-11
3.879999999999999785e-11	5.819999999999999677e-11	8.550000000000000202e-11	8.969999999999999785e-11	4.170000000000000205e-11	7.359999999999999658e-11	8.950000000000000113e-11
8.390000000000000237e-11	6.029999999999999953e-12	7.910000000000000344e-11	2.360000000000000122e-11	1.320000000000000030e-11	3.890000000000000267e-11	6.200000000000000562e-11
7.730000000000000384e-12	2.569999999999999914e-11	4.939999999999999872e-11	6.600000000000000473e-11	6.730000000000000283e-11	3.230000000000000091e-11	8.660000000000000339e-11
5.640000000000000040e-11	6.700000000000000128e-12	5.110000000000000319e-11	6.300000000000000217e-11	3.580000000000000174e-11	4.409999999999999990e-12	3.999999999999999920e-12
9.200000000000000542e-11	3.510000000000000028e-11	3.820000000000000121e-11	2.220000000000000153e-11	8.829999999999999493e-11	1.699999999999999946e-11	2.399999999999999871e-12
1.180000000000000061e-11	8.939999999999999630e-11	6.319999999999999889e-11	7.610000000000000087e-11	8.850000000000000458e-12	8.249999999999999945e-11	1.099999999999999958e-12
5.630000000000000204e-11	5.729999999999999858e-11	3.230000000000000091e-11	7.729999999999999414e-11	1.009999999999999937e-11	8.429999999999999582e-11	4.300000000000000014e-11
1.990000000000000043e-11	2.909999999999999838e-11	7.969999999999999361e-11	9.509999999999999988e-11	9.309999999999999387e-11	3.719999999999999820e-11	2.170000000000000003e-11
6.479999999999999854e-11	7.990000000000000326e-11	8.070000000000000308e-11	1.879999999999999906e-11	1.310000000000000032e-11	6.790000000000000592e-11	9.259999999999999559e-11
4.419999999999999988e-11	7.990000000000000326e-11	4.429999999999999824e-11	4.090000000000000223e-11	8.749999999999999511e-11	4.210000000000000034e-12	1.270000000000000041e-11
6.179999999999999597e-11	7.879999999999999745e-13	8.900000000000000285e-11	6.749999999999999955e-11	1.380000000000000017e-11	2.209999999999999994e-11	5.969999999999999805e-11
8.660000000000000339e-11	5.989999999999999478e-11	3.460000000000000201e-11	7.830000000000000362e-12	4.600000000000000271e-11	5.919999999999999978e-11	7.889999999999999379e-11
6.989999999999999902e-11	6.920000000000000402e-12	6.360000000000000526e-11	5.190000000000000302e-11	8.360000000000000082e-11	7.149999999999999866e-11	7.869999999999999383e-12
4.549999999999999797e-11	5.240000000000000129e-11	1.610000000000000127e-11	8.960000000000000595e-11	6.319999999999999889e-11	1.899999999999999901e-11	7.260000000000000003e-11
9.650000000000000280e-11	2.549999999999999918e-11	1.999999999999999879e-11	9.780000000000000090e-11	1.019999999999999935e-11	1.849999999999999993e-12	9.520000000000000471e-11
8.649999999999999856e-11	3.669999999999999993e-11	1.499999999999999990e-11	2.959999999999999989e-11	9.350000000000000024e-11	3.839999999999999794e-11	4.029999999999999913e-11
9.470000000000000644e-11	3.359999999999999900e-11	4.149999999999999886e-11	3.849999999999999953e-12	6.600000000000000473e-11	2.999999999999999980e-11	6.449999999999999699e-11
1.679999999999999950e-11	1.280000000000000039e-11	8.029999999999999671e-11	7.729999999999999414e-11	9.120000000000000560e-11	5.999999999999999960e-11	6.010000000000000443e-11
9.829999999999999917e-12	1.819999999999999919e-12	6.609999999999999663e-11	4.850000000000000054e-11	4.899999999999999881e-11	6.819999999999999455e-11	6.289999999999999734e-11
7.009999999999999574e-11	9.119999999999999914e-12	3.939999999999999771e-12	4.589999999999999789e-11	4.570000000000000116e-11	7.340000000000000632e-12	1.530000000000000145e-11
8.130000000000000618e-11	6.570000000000000318e-11	6.399999999999999871e-11	1.779999999999999928e-11	6.979999999999999419e-11	9.229999999999999404e-11	1.410000000000000010e-11
2.409999999999999950e-11	2.840000000000000016e-11	6.989999999999999902e-12	9.350000000000000024e-11	2.099999999999999857e-11	6.019999999999999633e-11	3.569999999999999692e-11
5.259999999999999801e-11	7.329999999999999503e-11	1.370000000000000019e-11	1.230000000000000050e-11	7.089999999999999556e-11	7.210000000000000176e-12	6.989999999999999902e-11
3.989999999999999922e-11	7.100000000000000039e-11	2.440000000000000104e-11	4.899999999999999881e-11	4.640000000000000262e-11	4.429999999999999824e-11	2.849999999999999852e-11
6.849999999999999610e-11	2.420000000000000109e-11	1.110000000000000077e-11	4.840000000000000218e-11	2.700000000000000047e-11	7.279999999999999676e-11	7.750000000000000379e-11
7.629999999999999760e-11	9.729999999999999940e-12	2.429999999999999945e-11	5.929999999999999976e-12	8.219999999999999790e-11	6.739999999999999473e-11	7.489999999999999468e-11
8.729999999999999839e-11	5.649999999999999876e-11	7.329999999999999503e-11	9.620000000000000126e-11	9.899999999999999417e-11	8.440000000000000065e-11	3.369999999999999736e-11
9.950000000000000537e-11	8.660000000000000339e-11	7.510000000000000433e-11	6.829999999999999776e-12	7.380000000000000623e-11	6.170000000000000407e-11	2.090000000000000021e-11
2.340000000000000127e-11	3.460000000000000201e-11	9.369999999999999696e-11	4.239999999999999705e-11	5.750000000000000177e-11	2.880000000000000007e-11	6.369999999999999716e-11
9.279999999999999232e-12	4.530000000000000125e-11	3.220000000000000012e-12	9.360000000000000506e-11	2.999999999999999980e-11	1.459999999999999999e-11	3.959999999999999767e-11
3.470000000000000037e-11	8.589999999999999547e-11	1.899999999999999901e-11	8.919999999999999958e-11	7.860000000000000516e-11	4.020000000000000238e-12	8.710000000000000166e-11
4.499999999999999970e-11	9.499999999999999506e-11	6.250000000000000389e-11	7.579999999999999932e-11	7.759999999999999569e-11	8.459999999999999737e-11	2.969999999999999825e-11
1.110000000000000077e-11	1.239999999999999967e-12	4.170000000000000205e-11	8.420000000000000069e-12	2.809999999999999861e-11	9.250000000000000369e-11	4.210000000000000236e-13
5.489999999999999912e-11	2.580000000000000073e-11	4.779999999999999908e-11	4.379999999999999997e-11	5.720000000000000022e-11	2.340000000000000127e-11	6.950000000000000557e-11
5.640000000000000040e-11	9.190000000000000060e-11	9.760000000000000418e-11	8.489999999999999892e-11	8.950000000000000113e-11	3.260000000000000245e-11	1.420000000000000008e-12
3.620000000000000165e-11	4.560000000000000280e-11	5.950000000000000133e-11	4.579999999999999952e-11	4.119999999999999731e-11	4.220000000000000032e-11	3.569999999999999692e-11
5.859999999999999668e-11	4.739999999999999917e-11	4.619999999999999943e-11	3.189999999999999938e-12	4.930000000000000036e-11	6.140000000000000252e-11	6.289999999999999734e-11
7.670000000000000397e-11	5.510000000000000230e-11	4.509999999999999806e-11	7.830000000000000362e-12	1.530000000000000145e-11	5.419999999999999766e-11	9.819999999999999758e-12
5.619999999999999721e-11	9.289999999999999714e-11	4.079999999999999740e-11	6.300000000000000217e-11	8.370000000000000565e-11	6.899999999999999437e-11	5.020000000000000016e-12
6.669999999999999973e-11	5.960000000000000615e-11	4.279999999999999696e-11	6.010000000000000443e-11	6.350000000000000044e-11	2.469999999999999936e-11	4.829999999999999735e-11
2.599999999999999827e-12	7.160000000000000349e-11	9.350000000000000024e-11	9.689999999999999625e-11	3.559999999999999856e-11	1.479999999999999994e-11	1.210000000000000054e-11
3.749999999999999975e-11	3.519999999999999865e-11	3.529999999999999701e-11	3.150000000000000108e-11	6.510000000000000008e-11	4.220000000000000032e-11	8.370000000000000565e-11
7.720000000000000224e-12	3.639999999999999838e-11	5.120000000000000156e-11	7.700000000000000552e-11	5.659999999999999712e-11	9.840000000000000400e-11	5.209999999999999974e-11
7.579999999999999932e-11	2.720000000000000123e-12	5.029999999999999691e-11	6.389999999999999389e-11	5.550000000000000383e-12	7.270000000000000486e-11	7.260000000000000003e-11
7.579999999999999932e-11	5.360000000000000102e-11	9.989999999999999882e-11	9.190000000000000060e-11	5.790000000000000168e-11	1.830000000000000078e-11	7.830000000000000362e-11
8.729999999999999839e-11	5.779999999999999686e-11	1.599999999999999968e-11	3.940000000000000094e-11	6.380000000000000078e-13	1.770000000000000092e-11	1.559999999999999977e-11
6.550000000000000646e-11	4.429999999999999824e-11	2.200000000000000158e-11	1.550000000000000140e-11	1.060000000000000027e-13	3.479999999999999873e-11	8.630000000000000184e-11
8.539999999999999719e-11	1.200000000000000057e-11	6.959999999999999747e-11	2.329999999999999967e-11	2.660000000000000056e-11	3.999999999999999758e-11	6.120000000000000580e-11
5.280000000000000120e-11	4.440000000000000307e-11	3.510000000000000028e-11	1.999999999999999879e-11	9.019999999999999613e-11	1.089999999999999920e-11	9.600000000000000453e-11
6.550000000000000646e-11	4.419999999999999988e-11	1.779999999999999928e-11	2.809999999999999861e-11	5.989999999999999478e-11	9.069999999999999440e-11	6.579999999999999831e-12
8.299999999999999772e-11	8.509999999999999564e-11	2.329999999999999967e-11	6.589999999999999991e-11	1.150000000000000068e-11	2.729999999999999878e-11	6.909999999999999920e-11
9.650000000000000280e-11	6.030000000000000115e-11	2.159999999999999843e-11	1.610000000000000127e-11	7.450000000000000123e-11	5.110000000000000319e-11	6.110000000000000097e-11
6.440000000000000509e-11	6.780000000000000110e-11	9.819999999999999435e-11	1.850000000000000074e-11	4.459999999999999979e-11	7.050000000000000212e-11	2.909999999999999838e-11
3.679999999999999829e-11	2.400000000000000113e-11	4.810000000000000063e-11	9.650000000000000280e-11	4.690000000000000089e-11	8.050000000000000636e-11	5.400000000000000093e-11
6.389999999999999389e-11	3.749999999999999975e-11	9.030000000000000095e-11	5.139999999999999828e-11	7.720000000000000224e-11	4.770000000000000072e-11	8.919999999999999958e-11
7.199999999999999694e-11	2.629999999999999901e-11	7.120000000000000358e-12	1.599999999999999968e-11	7.260000000000000003e-11	5.640000000000000040e-11	7.190000000000000504e-11
1.839999999999999915e-11	2.980000000000000308e-11	7.560000000000000260e-11	8.859999999999999648e-11	7.300000000000000641e-11	4.229999999999999868e-11	1.459999999999999999e-11
9.920000000000000382e-11	4.370000000000000161e-11	3.949999999999999931e-11	2.800000000000000024e-11	8.550000000000000202e-11	8.459999999999999737e-11	3.220000000000000254e-11
5.140000000000000313e-12	8.870000000000000131e-11	4.619999999999999943e-11	4.709999999999999762e-11	8.889999999999999803e-11	5.859999999999999668e-11	6.819999999999999455e-11
2.059999999999999866e-11	6.700000000000000128e-12	5.219999999999999810e-11	7.080000000000000367e-11	7.659999999999999268e-12	3.930000000000000258e-11	4.069999999999999904e-11
5.110000000000000319e-11	9.709999999999999621e-12	6.490000000000000336e-11	2.090000000000000021e-11	4.120000000000000216e-12	8.280000000000000060e-13	4.720000000000000244e-11
2.769999999999999870e-11	7.620000000000000570e-11	2.150000000000000007e-11	4.159999999999999722e-11	2.079999999999999861e-11	2.660000000000000056e-11	7.679999999999999587e-11
7.050000000000000212e-11	6.739999999999999473e-11	2.019999999999999875e-11	4.869999999999999726e-11	3.049999999999999807e-11	7.700000000000000552e-11	5.880000000000000633e-11
6.840000000000000420e-11	8.109999999999999653e-11	1.420000000000000008e-11	4.640000000000000262e-11	4.139999999999999727e-12	3.970000000000000249e-11	7.540000000000000587e-11
5.099999999999999837e-11	6.129999999999999770e-11	1.719999999999999941e-11	2.809999999999999861e-11	5.139999999999999828e-11	7.439999999999999640e-11	4.709999999999999762e-11
8.319999999999999445e-11	7.450000000000000123e-11	6.030000000000000115e-11	2.919999999999999998e-11	1.670000000000000114e-11	2.159999999999999843e-11	2.930000000000000137e-13
6.079999999999999942e-11	9.850000000000000236e-12	5.179999999999999819e-11	7.579999999999999932e-11	8.429999999999999582e-11	2.929999999999999834e-11	3.820000000000000121e-11
8.200000000000000118e-11	7.199999999999999694e-11	3.009999999999999816e-11	6.620000000000000146e-11	4.680000000000000253e-11	8.409999999999999910e-11	3.660000000000000157e-11
3.369999999999999736e-11	1.810000000000000083e-11	9.120000000000000560e-11	6.339999999999999561e-11	6.339999999999999561e-11	2.600000000000000069e-11	6.749999999999999955e-11
2.880000000000000007e-11	1.860000000000000152e-12	9.600000000000000453e-11	6.060000000000000270e-11	9.479999999999999834e-11	6.169999999999999761e-12	1.140000000000000070e-11
8.520000000000000047e-11	3.180000000000000263e-11	4.469999999999999815e-11	5.059999999999999846e-12	1.400000000000000093e-12	4.840000000000000379e-12	5.140000000000000313e-12
8.139999999999999808e-11	9.719999999999999780e-12	7.649999999999999432e-11	5.590000000000000213e-11	5.440000000000000084e-11	2.179999999999999839e-11	8.479999999999999409e-11
8.859999999999999648e-11	8.759999999999999993e-11	3.770000000000000294e-11	6.799999999999999782e-11	5.630000000000000204e-11	3.060000000000000290e-11	9.239999999999999887e-11
2.400000000000000113e-11	1.320000000000000030e-11	9.300000000000000197e-11	8.360000000000000082e-11	7.190000000000000504e-11	1.430000000000000006e-11	3.380000000000000219e-11
6.179999999999999597e-11	9.650000000000000280e-11	2.700000000000000047e-11	7.940000000000000499e-11	5.760000000000000013e-11	8.809999999999999821e-11	5.409999999999999930e-11
1.180000000000000061e-11	2.329999999999999967e-11	2.729999999999999878e-12	6.380000000000000199e-11	7.559999999999999291e-12	8.450000000000000547e-11	1.630000000000000123e-11
3.220000000000000254e-11	7.110000000000000198e-12	4.949999999999999709e-11	1.769999999999999930e-12	6.899999999999999437e-11	8.660000000000000339e-11	4.220000000000000032e-11
6.989999999999999902e-11	8.820000000000000303e-11	1.039999999999999931e-11	5.150000000000000310e-11	3.230000000000000091e-11	9.630000000000000366e-13	5.320000000000000111e-11
5.199999999999999653e-12	1.950000000000000052e-11	2.640000000000000060e-11	1.009999999999999937e-11	4.760000000000000235e-11	3.220000000000000254e-11	3.129999999999999790e-11
7.130000000000000194e-11	3.749999999999999975e-11	6.419999999999999544e-11	8.200000000000000118e-11	5.310000000000000275e-11	8.169999999999999963e-11	6.890000000000000247e-11
9.940000000000000055e-11	1.130000000000000072e-11	3.180000000000000263e-11	8.630000000000000184e-11	6.360000000000000526e-11	6.559999999999999836e-11	8.859999999999999648e-11
5.230000000000000131e-12	4.939999999999999872e-11	5.670000000000000195e-11	4.990000000000000346e-12	8.479999999999999409e-11	1.390000000000000014e-11	8.180000000000000445e-11
7.489999999999999468e-11	1.019999999999999935e-11	4.159999999999999722e-11	6.499999999999999526e-11	4.579999999999999952e-11	3.319999999999999909e-11	7.250000000000000006e-12
1.759999999999999973e-12	6.929999999999999592e-11	2.460000000000000100e-11	5.090000000000000001e-11	8.319999999999999445e-11	4.699999999999999926e-11	6.159999999999999925e-11
5.369999999999999938e-11	2.070000000000000025e-11	2.440000000000000104e-11	6.060000000000000270e-11	7.960000000000000171e-11	3.120000000000000034e-12	6.550000000000000646e-11
4.079999999999999740e-11	2.569999999999999914e-11	4.629999999999999780e-11	7.270000000000000486e-11	4.610000000000000107e-11	6.389999999999999389e-11	3.639999999999999838e-11
9.659999999999999470e-11	9.579999999999999488e-11	3.150000000000000108e-11	1.370000000000000019e-11	5.720000000000000022e-11	3.199999999999999936e-11	2.940000000000000316e-11
6.170000000000000407e-11	1.360000000000000021e-11	2.790000000000000027e-12	5.280000000000000120e-11	4.699999999999999926e-11	1.730000000000000101e-11	6.100000000000000261e-12
7.830000000000000362e-11	8.029999999999999671e-11	1.870000000000000069e-11	6.529999999999999842e-12	9.899999999999999417e-11	2.380000000000000118e-11	8.100000000000000463e-11
2.119999999999999852e-11	5.209999999999999974e-11	7.720000000000000224e-11	9.799999999999999762e-11	7.919999999999999534e-11	5.369999999999999938e-11	1.206272999999999894e-03
7.700000000000000552e-11	6.179999999999999920e-12	7.649999999999999432e-11	3.470000000000000037e-11	3.540000000000000183e-11	9.159999999999999905e-11	7.599999999999999605e-11
6.510000000000000008e-11	4.869999999999999726e-11	4.600000000000000271e-11	9.229999999999999404e-11	4.359999999999999678e-11	4.140000000000000050e-11	4.689999999999999605e-12
9.170000000000000710e-12	6.879999999999999765e-11	5.120000000000000156e-11	7.149999999999999866e-11	7.240000000000000331e-11	1.330000000000000028e-11	8.630000000000000184e-11
8.699999999999999684e-11	6.469999999999999694e-12	7.860000000000000516e-11	1.240000000000000048e-11	6.830000000000000180e-13	5.190000000000000302e-11	6.410000000000000354e-11
2.680000000000000051e-11	5.169999999999999983e-11	8.649999999999999856e-11	7.219999999999999366e-11	6.780000000000000110e-11	8.079999999999999498e-11	8.200000000000000118e-11
1.659999999999999954e-11	3.669999999999999993e-11	1.039999999999999931e-11	1.979999999999999883e-11	5.419999999999999766e-11	1.750000000000000096e-11	2.889999999999999843e-11
2.999999999999999980e-11	3.140000000000000272e-11	7.050000000000000212e-11	3.169999999999999781e-11	8.299999999999999772e-11	1.510000000000000149e-11	2.360000000000000122e-11
